OBJECTID,County,Percent_1,Shape__Area,Shape__Length
1,McHenry County,27.7,17027625788.537,522324.305015208
2,Boone County,33.7,7862723082.6886,375171.144576636
3,Ogle County,31.2,21284584781.1903,651729.421361205
4,Will County,28,23669428994.1753,779085.214830737
5,LaSalle County,27.1,32008439057.9899,825360.163912672
6,Bureau County,29.1,24372350774.2707,695888.620857976
7,Henry County,30.5,23009404522.4753,614757.970152488
8,Grundy County,30.4,12002378654.8716,443637.927655678
9,Mercer County,31.2,15836898851.4073,532968.713212454
10,Putnam County,29.9,4799934142.88452,324877.419760967
11,McLean County,29.3,33071837458.6111,792335.053058978
12,Tazewell County,30.6,18349111495.9951,641935.931176892
13,Fulton County,30.7,24624624785.3038,658397.319192722
14,Adams County,37,24320749855.4302,633437.821070721
15,Champaign County,25.1,27830105700.877,677613.599218
16,Logan County,29.2,17255432738.9553,550922.639210423
17,Piatt County,29,12246568676.2584,494478.913891985
18,Stark County,30.2,8044543355.8446,380633.431563119
19,Knox County,26.2,20069413735.3365,570150.638526156
20,Marshall County,29.1,11122256703.2258,511402.446048842
21,Livingston County,29.2,29159752243.5807,740254.793947177
22,Henderson County,30.4,11049966506.7734,500299.667450451
23,Warren County,30.5,15171486184.5103,508076.302189391
24,Iroquois County,33.9,31205859141.8431,707658.133602255
25,Peoria County,28.8,17569324838.36,590509.972105351
26,Woodford County,30.8,15132955032.6848,569877.067819514
27,Carroll County,28.6,13010575750.6656,524854.609303269
28,Kane County,25.3,14609686592.9332,513632.441065458
29,DeKalb County,28.3,17691610131.4912,574033.202170553
30,Cook County,25.3,26691121232.6917,1035956.88325422
31,Rock Island County,31.7,12596437913.7518,771824.835747518
32,Kendall County,33.7,8985370989.18042,378778.315295608
33,Kankakee County,30.1,18990061873.3698,612173.047488212
34,Ford County,28.2,13558527435.3574,727711.412427678
35,Menard County,28.3,8792794216.13782,496682.919266853
36,Mason County,31.7,15711492307.8436,837747.782072944
37,De Witt County,30.5,11290563533.1014,465161.826203734
38,Schuyler County,31.7,12312790600.9947,614411.045430398
39,Hancock County,28.6,22728011447.5603,633555.821499732
40,Brown County,27.6,8573563965.04898,440299.18715416
41,Douglas County,30.5,11633922651.3978,466653.204433497
42,Pike County,32.6,23627517224.3848,717799.467812409
43,Cass County,28,10701872174.6553,604714.987521999
44,Cumberland County,27.8,9665254162.83228,410060.198914086
45,Calhoun County,29.1,7918161990.29065,588844.660982231
46,Clay County,31,13083144890.7957,537092.753868684
47,Jersey County,33,10532849116.8241,529447.708005961
48,Effingham County,31.8,13385312521.8322,474294.666085885
49,Greene County,28.7,15260402801.138,594407.003466049
50,Clinton County,29.5,14031340785.3539,676007.515927552
51,Wabash County,32.2,6342148709.86102,560174.977634647
52,Edwards County,31.3,6207810422.74377,431752.873621487
53,Washington County,28.6,15723006861.1673,647973.384181049
54,Richland County,28.8,10090229081.9041,462308.112049953
55,Randolph County,27.7,16593418196.7127,626677.609912071
56,Perry County,29.1,12464962168.9388,512158.580494229
57,Franklin County,30.2,12033929134.2559,515387.752544354
58,Jackson County,31.5,16878012671.286,579326.927015057
59,Saline County,30.1,10787575558.4583,416930.871284126
60,White County,28.7,13989395745.8619,625886.082676254
61,Pulaski County,27.3,5665597476.81878,459281.555786962
62,Alexander County,28.4,7061029192.63457,587826.482433902
63,DuPage County,23,9377687430.70837,405381.381823338
64,Whiteside County,28.7,19455150141.8654,601347.708749003
65,Lee County,32.6,20313831232.9137,626167.52507576
66,Jo Daviess County,29.5,17246454399.5434,580551.637141172
67,Stephenson County,32.9,15736842428.3386,505698.886842808
68,Winnebago County,33.9,14474510014.9432,501418.393859765
69,Lake County,23,13124880873.021,501602.709382818
70,Gallatin County,28.4,9146733640.78537,456656.607761093
71,Williamson County,31.6,12381556236.2361,448768.859261738
72,Johnson County,29.4,9717420788.75554,422078.691869373
73,Hamilton County,28.2,12150866299.2385,445151.144253173
74,Hardin County,30.6,5054918949.10385,308418.117631949
75,Massac County,30.7,6737750680.69127,378149.87940123
76,McDonough County,26.8,16463713395.2051,513160.867815777
77,Vermilion County,35.4,25123687452.411,693989.994074904
78,Macon County,29.7,16334433089.7349,554528.14025558
79,Sangamon County,28.5,24450818337.2637,778824.737926158
80,Edgar County,30.3,17388721528.4103,561509.741750737
81,Morgan County,28.8,15980973538.1869,625181.212554287
82,Christian County,31.7,19944053227.0469,651197.708401306
83,Moultrie County,28.6,9591938448.94086,442096.311526678
84,Scott County,30.4,7052884350.74646,367796.00179698
85,Coles County,26.3,14228652096.8236,512226.081961857
86,Shelby County,30.6,21419274212.8083,697948.885606232
87,Montgomery County,31.3,19788054495.1512,700577.670355713
88,Macoupin County,31,24191666106.4799,637289.807471503
89,Clark County,32.7,14074451782.1099,544368.746063478
90,Crawford County,31.3,12429148293.8318,539318.454283674
91,Jasper County,30.2,13891850152.9988,469927.601442314
92,Bond County,29.6,10674641916.9484,429553.29253945
93,Madison County,32.3,20642791662.5997,650095.291120967
94,Fayette County,33,20228076359.1106,668385.590661905
95,St. Clair County,33.2,18796265016.0935,605443.26891124
96,Wayne County,29.2,19945322205.8318,568210.11031498
97,Monroe County,33.2,11095334438.8264,505936.97431118
98,Jefferson County,30.2,16276278165.5205,510233.041489362
99,Lawrence County,28.9,10426836159.9525,442943.679765904
100,Marion County,33.5,16056558800.8808,509529.795773714
101,Union County,28.2,11769540678.443,489617.647490374
102,Pope County,29.5,10432553057.3079,537878.380730576
